age,work.class,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,salary
49,Private,HS-grad,9,Widowed,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,Below-50K
23,Local-gov,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,United-States,Below-50K
51,Private,HS-grad,9,Widowed,Tech-support,Unmarried,Black,Female,0,0,40,United-States,Below-50K
57,Local-gov,HS-grad,9,Widowed,Transport-moving,Not-in-family,White,Female,0,0,40,United-States,Below-50K
23,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,38,United-States,Below-50K
25,Private,Bachelors,13,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,Below-50K
50,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,Below-50K
45,State-gov,HS-grad,9,Separated,Adm-clerical,Own-child,White,Female,0,0,40,United-States,Below-50K
41,State-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,Below-50K
20,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,Below-50K
39,Private,Some-college,10,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,0,0,40,Philippines,Below-50K
34,Private,Masters,14,Divorced,Prof-specialty,Own-child,White,Female,0,0,60,United-States,Above-50K
23,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,Below-50K
41,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,1741,40,United-States,Below-50K
56,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,32,United-States,Below-50K
59,Private,Masters,14,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,Below-50K
53,Private,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,50,United-States,Above-50K
51,Private,HS-grad,9,Widowed,Machine-op-inspct,Not-in-family,Black,Female,0,0,40,United-States,Below-50K
61,Federal-gov,HS-grad,9,Divorced,Adm-clerical,Own-child,Black,Female,0,0,20,United-States,Below-50K
56,Private,7th-8th,4,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,20,Yugoslavia,Below-50K
54,Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,Above-50K
27,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,Above-50K
37,Private,Bachelors,13,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,Below-50K
24,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Female,0,0,40,Philippines,Below-50K
27,State-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Wife,Black,Female,0,0,48,United-States,Below-50K
39,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,35,Puerto-Rico,Above-50K
49,State-gov,Prof-school,15,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,Below-50K
38,Private,HS-grad,9,Never-married,Craft-repair,Unmarried,Black,Female,0,0,40,United-States,Below-50K
34,State-gov,Some-college,10,Separated,Exec-managerial,Own-child,White,Female,0,0,40,United-States,Below-50K
32,Private,Bachelors,13,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,40,United-States,Above-50K
22,Private,10th,6,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,Below-50K
23,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,2174,0,40,United-States,Below-50K
31,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,Below-50K
25,Private,Masters,14,Never-married,Prof-specialty,Own-child,White,Female,0,0,60,United-States,Below-50K
38,Private,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,Below-50K
26,Private,10th,6,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,Below-50K
43,Local-gov,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,55,United-States,Below-50K
32,Private,Assoc-voc,11,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,Below-50K
43,Private,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,Iran,Below-50K
23,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,Below-50K
44,Private,Some-college,10,Separated,Tech-support,Not-in-family,White,Female,0,0,38,United-States,Below-50K
65,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,2206,59,Canada,Below-50K
38,Self-emp-inc,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Female,0,0,20,United-States,Below-50K
56,Private,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Female,4101,0,40,United-States,Below-50K
34,Private,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,Above-50K
26,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,15,United-States,Below-50K
34,Private,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,Below-50K
23,Private,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States,Below-50K
22,Private,10th,6,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,Below-50K
22,Private,Some-college,10,Never-married,Sales,Unmarried,White,Female,0,0,32,United-States,Below-50K
18,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,Below-50K
17,Private,11th,7,Never-married,Priv-house-serv,Own-child,White,Female,0,0,9,United-States,Below-50K
27,Private,Masters,14,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,United-States,Below-50K
43,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,15024,0,50,United-States,Above-50K
31,Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,1594,30,United-States,Below-50K
27,Private,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States,Below-50K
25,Private,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,Below-50K
29,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,Below-50K
49,Private,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,Below-50K
56,Private,HS-grad,9,Separated,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,Below-50K
36,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,Below-50K
36,State-gov,Some-college,10,Never-married,Tech-support,Unmarried,Black,Female,0,0,40,United-States,Below-50K
40,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,30,United-States,Above-50K
44,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,Below-50K
21,Private,Some-college,10,Never-married,Sales,Own-child,Black,Female,0,0,30,United-States,Below-50K
51,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,Below-50K
30,Local-gov,Bachelors,13,Separated,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,Below-50K
48,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,Above-50K
39,Private,Some-college,10,Separated,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,Below-50K
41,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,Below-50K
34,Private,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,Black,Female,0,0,48,United-States,Below-50K
29,State-gov,Some-college,10,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0,0,40,Philippines,Below-50K
26,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,2354,0,40,United-States,Below-50K
37,Private,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,56,United-States,Below-50K
32,Private,Assoc-voc,11,Widowed,Tech-support,Unmarried,Black,Female,0,0,40,United-States,Below-50K
17,Local-gov,11th,7,Never-married,Adm-clerical,Own-child,White,Female,0,0,12,United-States,Below-50K
21,Private,Some-college,10,Never-married,Sales,Own-child,Black,Female,0,0,20,United-States,Below-50K
25,Private,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,Mexico,Below-50K
51,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,Above-50K
50,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,Below-50K
36,State-gov,Masters,14,Never-married,Prof-specialty,Own-child,White,Female,0,0,30,United-States,Below-50K
17,Private,11th,7,Never-married,Priv-house-serv,Own-child,White,Female,0,0,12,United-States,Below-50K
52,State-gov,Masters,14,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,1848,40,United-States,Above-50K
45,Private,HS-grad,9,Divorced,Tech-support,Not-in-family,White,Female,0,0,50,United-States,Above-50K
48,Private,Bachelors,13,Divorced,Priv-house-serv,Not-in-family,White,Female,0,0,44,Germany,Below-50K
28,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,Below-50K
30,Private,HS-grad,9,Never-married,Prof-specialty,Own-child,White,Female,0,0,30,United-States,Below-50K
36,Private,HS-grad,9,Divorced,Exec-managerial,Own-child,White,Female,1831,0,40,United-States,Below-50K
46,Private,HS-grad,9,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,Below-50K
50,Private,HS-grad,9,Married-civ-spouse,Sales,Wife,Black,Female,0,0,40,United-States,Below-50K
33,Local-gov,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,Below-50K
31,Private,Some-college,10,Married-civ-spouse,Sales,Wife,Black,Female,0,0,40,United-States,Below-50K
44,Local-gov,Some-college,10,Widowed,Adm-clerical,Unmarried,White,Female,0,0,15,United-States,Below-50K
34,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,20,United-States,Below-50K
26,Private,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States,Below-50K
35,Private,Assoc-voc,11,Married-spouse-absent,Prof-specialty,Unmarried,White,Female,0,0,44,United-States,Below-50K
35,Private,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,Below-50K
46,Private,Assoc-acdm,12,Widowed,Tech-support,Unmarried,White,Female,6497,0,40,United-States,Below-50K
36,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,12,United-States,Above-50K
34,State-gov,Some-college,10,Married-spouse-absent,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0,0,38,Philippines,Below-50K
26,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,50,United-States,Below-50K
41,Private,5th-6th,3,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,0,40,Mexico,Below-50K
23,Private,Assoc-voc,11,Separated,Exec-managerial,Own-child,White,Female,0,0,40,United-States,Below-50K
27,Private,Masters,14,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,Below-50K
58,Private,7th-8th,4,Never-married,Handlers-cleaners,Not-in-family,White,Female,0,0,33,United-States,Below-50K
24,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,17,United-States,Below-50K
47,Private,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,Below-50K
46,Private,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,Below-50K
22,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,37,United-States,Below-50K
35,Private,Bachelors,13,Divorced,Sales,Not-in-family,White,Female,0,1980,65,United-States,Below-50K
55,Local-gov,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,Below-50K
28,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,Below-50K
31,Private,HS-grad,9,Never-married,Sales,Unmarried,Black,Female,0,0,58,United-States,Below-50K
47,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,2,United-States,Above-50K
61,Private,Masters,14,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,Above-50K
44,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,Below-50K
27,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,70,United-States,Below-50K
39,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,Below-50K
26,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,Below-50K
61,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,Below-50K
22,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,Below-50K
34,Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,Below-50K
17,Private,11th,7,Never-married,Sales,Own-child,White,Female,0,0,8,United-States,Below-50K
21,Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,4101,0,40,United-States,Below-50K
29,State-gov,Masters,14,Never-married,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,0,0,20,Taiwan,Below-50K
25,Private,Some-college,10,Never-married,Tech-support,Not-in-family,Black,Female,2174,0,50,United-States,Below-50K
23,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,Below-50K
30,Private,HS-grad,9,Never-married,Exec-managerial,Own-child,Black,Female,0,0,35,Jamaica,Below-50K
49,Federal-gov,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,Below-50K
36,Private,10th,6,Never-married,Transport-moving,Not-in-family,Black,Female,0,0,40,United-States,Below-50K
35,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,6849,0,40,United-States,Below-50K
24,Private,11th,7,Never-married,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,Below-50K
36,Private,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,Cuba,Below-50K
55,State-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,37,United-States,Below-50K
44,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,Below-50K
68,Private,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,10,United-States,Above-50K
18,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,Below-50K
43,Private,Some-college,10,Married-civ-spouse,Tech-support,Wife,Black,Female,0,0,40,United-States,Below-50K
20,Private,Some-college,10,Never-married,Protective-serv,Own-child,White,Female,0,0,16,United-States,Below-50K
25,Private,HS-grad,9,Separated,Handlers-cleaners,Unmarried,Black,Female,0,0,40,United-States,Below-50K
42,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,Above-50K
21,Private,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,0,0,50,United-States,Below-50K
17,Private,11th,7,Never-married,Priv-house-serv,Own-child,White,Female,0,0,24,United-States,Below-50K
31,Private,HS-grad,9,Never-married,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,Below-50K
24,State-gov,Masters,14,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,Below-50K
40,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,Below-50K
65,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,Below-50K
24,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,Below-50K
48,Private,Some-college,10,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,Below-50K
24,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,Below-50K
46,Local-gov,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,0,43,United-States,Below-50K
31,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,Below-50K
28,State-gov,11th,7,Separated,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0,0,40,India,Below-50K
36,Private,Bachelors,13,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Female,0,0,50,China,Below-50K
51,Local-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,United-States,Above-50K
44,Self-emp-not-inc,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1902,60,United-States,Above-50K
48,Local-gov,Masters,14,Divorced,Exec-managerial,Unmarried,Black,Female,9562,0,40,United-States,Above-50K
22,Private,11th,7,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,Below-50K
24,Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,United-States,Below-50K
62,Local-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,1258,38,United-States,Below-50K
19,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,Below-50K
54,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,14084,0,40,United-States,Above-50K
66,Private,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,Below-50K
59,Private,HS-grad,9,Divorced,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,Below-50K
60,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,37,United-States,Below-50K
48,Private,HS-grad,9,Divorced,Prof-specialty,Unmarried,White,Female,0,0,38,United-States,Below-50K
50,Private,Masters,14,Divorced,Sales,Not-in-family,White,Female,0,1590,45,United-States,Below-50K
40,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,Below-50K
26,Private,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,0,0,40,United-States,Below-50K
41,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,Above-50K
23,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,2463,0,40,United-States,Below-50K
38,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,40,United-States,Below-50K
36,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,40,United-States,Below-50K
27,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,Below-50K
24,Private,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,0,0,45,United-States,Below-50K
64,Private,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,Below-50K
28,Private,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,Below-50K
23,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,Below-50K
50,Private,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1485,40,United-States,Below-50K
