model,year,price,transmission,mileage,fuelType,mpg,engineSize
3 Series,2013,10010,Semi-Auto,58916,Diesel,65.7,2
1 Series,2014,12300,Automatic,41850,Diesel,64.2,2
2 Series,2020,19950,Manual,100,Petrol,52.3,1.5
1 Series,2014,14869,Semi-Auto,35093,Diesel,60.1,2
4 Series,2018,19991,Semi-Auto,8018,Petrol,44.1,2
3 Series,2013,12995,Manual,37333,Diesel,55.4,2
5 Series,2016,18250,Automatic,17000,Diesel,60.1,2
3 Series,2019,17480,Semi-Auto,20671,Petrol,51.4,1.5
5 Series,2014,14790,Automatic,19503,Diesel,51.4,3
4 Series,2019,21998,Semi-Auto,19856,Diesel,65.7,2
3 Series,2019,25898,Semi-Auto,11917,Diesel,52.3,2
3 Series,2019,29998,Manual,3980,Diesel,53.3,2
2 Series,2016,19780,Semi-Auto,14041,Petrol,45.6,2
X1,2016,16000,Manual,47908,Diesel,60.1,2
4 Series,2018,22995,Automatic,7200,Petrol,48.7,2
2 Series,2019,22995,Manual,1000,Petrol,42.8,1.5
3 Series,2014,11180,Automatic,60015,Diesel,62.8,2
X5,2019,45880,Semi-Auto,9000,Diesel,37.7,3
X3,2020,32490,Semi-Auto,6565,Diesel,54.3,2
3 Series,2016,20000,Automatic,39510,Petrol,41.5,3
3 Series,2017,21972,Semi-Auto,21870,Diesel,53.3,3
X4,2017,26491,Semi-Auto,30485,Diesel,47.9,3
2 Series,2015,17498,Semi-Auto,41896,Petrol,37.2,3
4 Series,2019,24975,Semi-Auto,11736,Diesel,65.7,2
5 Series,2019,29982,Semi-Auto,3635,Petrol,47.9,2
4 Series,2020,24490,Semi-Auto,105,Diesel,65.7,2
X3,2014,15159,Automatic,77129,Diesel,54.3,2
3 Series,2020,32980,Semi-Auto,1001,Diesel,50.4,2
X1,2017,22000,Automatic,14105,Diesel,60.1,2
X1,2019,28995,Semi-Auto,1000,Diesel,60.1,2
X1,2017,18199,Automatic,29825,Diesel,65.7,2
3 Series,2016,14295,Automatic,86060,Hybrid,134.5,2
5 Series,1996,5995,Automatic,36000,Petrol,26.4,2.8
1 Series,2017,15500,Manual,11500,Petrol,52.3,1.5
2 Series,2017,13499,Manual,44011,Petrol,50.4,1.5
X5,2016,19750,Automatic,96213,Diesel,52.3,2
3 Series,2019,28450,Semi-Auto,8114,Diesel,48.7,2
4 Series,2016,17430,Automatic,55381,Diesel,53.3,3
3 Series,2019,33250,Semi-Auto,8496,Diesel,47.9,3
Z4,2019,28450,Semi-Auto,5340,Petrol,38.2,2
3 Series,2019,41995,Automatic,3000,Diesel,43.5,3
3 Series,2016,20878,Semi-Auto,25145,Diesel,51.4,3
2 Series,2016,13900,Manual,38811,Diesel,68.9,1.5
X4,2017,25990,Semi-Auto,25357,Diesel,47.9,3
1 Series,2017,12700,Manual,21809,Petrol,53.3,1.5
1 Series,2017,13888,Manual,15512,Petrol,53.3,1.5
3 Series,2019,28440,Semi-Auto,8788,Diesel,48.7,2
3 Series,2017,16485,Semi-Auto,58081,Diesel,64.2,2
X3,2019,32509,Semi-Auto,9000,Diesel,54.3,2
3 Series,2019,25950,Semi-Auto,3655,Diesel,52.3,2
3 Series,2019,27440,Semi-Auto,1700,Diesel,52.3,2
1 Series,2013,11995,Manual,31600,Diesel,57.6,2
6 Series,2006,4999,Automatic,126054,Petrol,29.7,3
1 Series,2016,13850,Semi-Auto,37398,Diesel,67.3,2
2 Series,2020,21950,Semi-Auto,15,Petrol,50.4,2
1 Series,2015,13800,Automatic,39141,Diesel,65.7,2
X3,2018,26995,Semi-Auto,15000,Petrol,30.4,2
2 Series,2016,17869,Semi-Auto,39955,Petrol,43.5,2
1 Series,2013,11200,Semi-Auto,10239,Petrol,48.7,1.6
1 Series,2020,23490,Manual,6565,Diesel,53.3,2
3 Series,2018,22482,Automatic,8850,Diesel,60.1,2
3 Series,2019,26782,Semi-Auto,5626,Petrol,42.2,2
1 Series,2013,7991,Manual,49479,Petrol,51.4,1.6
X1,2011,7498,Manual,69561,Diesel,49.6,2
2 Series,2019,23975,Semi-Auto,3013,Diesel,64.2,2
1 Series,2017,24490,Manual,102,Diesel,65.7,2
i8,2018,57870,Automatic,11278,Hybrid,134.5,1.5
3 Series,2016,18789,Automatic,33078,Hybrid,134.5,2
3 Series,2019,28990,Manual,104,Diesel,54.3,2
3 Series,2019,24300,Semi-Auto,8000,Petrol,44.8,2
1 Series,2015,10200,Manual,61296,Diesel,65.7,2
X3,2019,38975,Semi-Auto,6436,Diesel,36.7,3
3 Series,2019,33699,Semi-Auto,7736,Hybrid,8.8,2
1 Series,2019,24488,Automatic,7488,Diesel,61.4,2
X3,2017,29980,Semi-Auto,25101,Diesel,47.9,3
X3,2015,10991,Automatic,130000,Diesel,54.3,2
3 Series,2016,20480,Semi-Auto,22834,Diesel,51.4,3
X4,2020,45500,Semi-Auto,1608,Petrol,26.9,3
3 Series,2019,33995,Semi-Auto,4953,Hybrid,8.8,2
2 Series,2015,15882,Semi-Auto,23742,Petrol,51.4,1.5
5 Series,2016,15990,Automatic,53000,Diesel,51.4,3
1 Series,2015,12250,Manual,34473,Petrol,52.3,1.5
1 Series,2013,8999,Manual,57000,Diesel,65.7,2
6 Series,2013,16200,Automatic,36049,Diesel,49.6,3
M4,2015,29490,Semi-Auto,37724,Petrol,32.5,3
2 Series,2017,13991,Manual,36045,Diesel,74.3,1.5
X3,2015,16500,Semi-Auto,48000,Diesel,54.3,2
4 Series,2019,36999,Automatic,3500,Diesel,50.4,3
5 Series,2020,27990,Semi-Auto,105,Hybrid,49.6,2
1 Series,2020,23450,Manual,1524,Petrol,44.1,1.5
1 Series,2020,28875,Semi-Auto,150,Petrol,42.8,1.5
5 Series,2017,23898,Semi-Auto,11896,Diesel,65.7,2
1 Series,2015,13440,Semi-Auto,66471,Petrol,47.9,1.6
X3,2017,15500,Manual,74907,Diesel,52.3,2
1 Series,2017,10600,Manual,50927,Diesel,72.4,1.5
2 Series,2015,14250,Manual,11000,Petrol,50.4,1.5
3 Series,2020,33990,Semi-Auto,5665,Petrol,40.4,2
1 Series,2018,23491,Manual,12139,Petrol,36.2,3
4 Series,2016,18860,Semi-Auto,15422,Diesel,65.7,2
1 Series,2013,10991,Semi-Auto,46439,Petrol,48.7,1.6
5 Series,2014,11500,Automatic,92000,Diesel,57.6,2
1 Series,2016,13998,Semi-Auto,50525,Diesel,65.7,2
1 Series,2016,11899,Manual,40911,Diesel,70.6,1.5
1 Series,2017,10700,Manual,38664,Diesel,83.1,1.5
Z4,2020,32995,Semi-Auto,102,Petrol,38.7,2
1 Series,2017,21490,Automatic,20000,Petrol,39.8,3
3 Series,2018,18157,Automatic,28438,Diesel,62.8,2
3 Series,2016,20584,Semi-Auto,36137,Diesel,53.3,3
1 Series,2019,27888,Automatic,999,Diesel,51.4,2
1 Series,2014,11200,Manual,45400,Diesel,64.2,2
3 Series,2019,29450,Automatic,123,Diesel,54.3,2
2 Series,2016,19500,Semi-Auto,24790,Petrol,37.2,3
3 Series,2020,28450,Semi-Auto,101,Diesel,50.4,2
3 Series,2014,13499,Automatic,54842,Diesel,62.8,2
2 Series,2019,25490,Automatic,3339,Diesel,49.6,2
X1,2019,26600,Semi-Auto,5085,Diesel,60.1,2
3 Series,2020,43900,Automatic,11,Petrol,34.9,3
3 Series,2019,23990,Manual,4710,Diesel,54.3,2
5 Series,2013,11550,Automatic,92000,Diesel,57.6,2
X2,2019,25907,Manual,151,Diesel,53.3,2
3 Series,2015,14590,Semi-Auto,71902,Diesel,57.6,2
4 Series,2016,18000,Automatic,15788,Diesel,65.7,2
2 Series,2019,28630,Semi-Auto,2564,Diesel,67.3,2
X2,2019,32991,Semi-Auto,2899,Petrol,39.2,2
2 Series,2020,28995,Semi-Auto,1501,Diesel,49.6,2
2 Series,2015,9995,Manual,37500,Diesel,68.9,2
1 Series,2018,15224,Manual,12102,Petrol,37.7,1.5
3 Series,2017,14990,Manual,18452,Diesel,67.3,2
X1,2016,18797,Automatic,13505,Diesel,57.6,2
1 Series,2017,20998,Semi-Auto,15010,Petrol,39.8,3
X3,2014,9990,Automatic,107000,Diesel,50.4,2
X2,2019,27990,Semi-Auto,8592,Diesel,58.9,2
1 Series,2019,26991,Semi-Auto,2343,Petrol,40.4,1.5
2 Series,2019,19980,Manual,1900,Petrol,42.8,1.5
3 Series,2016,14199,Manual,51098,Diesel,64.2,2
X3,2014,15112,Semi-Auto,69382,Diesel,54.3,2
3 Series,2018,17000,Automatic,10877,Petrol,54.3,1.5
5 Series,2018,19500,Automatic,37281,Petrol,50.4,2
1 Series,2019,17980,Manual,7103,Diesel,70.6,1.5
X1,2019,25990,Semi-Auto,8989,Diesel,60.1,2
X5,2014,18400,Automatic,59307,Diesel,50.4,2
X3,2014,15795,Semi-Auto,63000,Diesel,54.3,2
2 Series,2014,13227,Automatic,29236,Petrol,47.1,2
3 Series,2017,24750,Automatic,29449,Diesel,49.6,3
X5,2019,52000,Semi-Auto,6500,Diesel,37.7,3
5 Series,2019,42500,Semi-Auto,3555,Diesel,51.4,3
8 Series,2019,59694,Semi-Auto,2881,Petrol,31.7,3
3 Series,2016,10695,Automatic,100680,Diesel,60.1,2
4 Series,2018,20400,Semi-Auto,22270,Diesel,60.1,2
2 Series,2015,10706,Manual,27562,Diesel,68.9,2
5 Series,2019,44190,Semi-Auto,6187,Petrol,37.7,3
1 Series,2014,11700,Automatic,29626,Petrol,50.4,1.6
X2,2018,24495,Semi-Auto,13147,Diesel,58.9,2
4 Series,2020,37995,Semi-Auto,1501,Diesel,58.9,2
3 Series,2017,23481,Semi-Auto,33093,Diesel,51.4,3
5 Series,2016,14499,Automatic,53689,Diesel,62.8,2
3 Series,2014,11474,Manual,53211,Diesel,61.4,2
1 Series,2015,8800,Manual,59496,Diesel,83.1,1.5
3 Series,2019,22990,Manual,1122,Diesel,60.1,2
7 Series,2015,23499,Automatic,65218,Diesel,54.3,3
X1,2019,25450,Semi-Auto,7549,Petrol,40.9,1.5
X3,2019,42763,Semi-Auto,3844,Diesel,36.7,3
Z4,2016,15991,Manual,25921,Petrol,41.5,2
2 Series,2019,23900,Automatic,2426,Diesel,47.1,2
4 Series,2017,18800,Automatic,19708,Diesel,65.7,2
3 Series,2019,27000,Semi-Auto,4814,Diesel,52.3,2
1 Series,2016,11799,Manual,37549,Diesel,70.6,1.5
X4,2019,37995,Semi-Auto,5809,Diesel,42.8,2
4 Series,2019,32880,Automatic,5000,Petrol,41.5,3
3 Series,2018,20599,Automatic,22478,Petrol,47.9,2
1 Series,2019,25995,Manual,500,Petrol,41.5,1.5
X3,2019,35750,Automatic,4466,Diesel,54.3,2
X4,2019,33998,Semi-Auto,4231,Diesel,42.8,2
1 Series,2016,10399,Manual,33546,Diesel,83.1,1.5
3 Series,2019,23298,Semi-Auto,11974,Diesel,54.3,2
X3,2015,19370,Semi-Auto,41312,Diesel,54.3,2
1 Series,2018,22000,Automatic,18225,Petrol,32.5,3
X2,2020,28999,Semi-Auto,5000,Diesel,47.9,2
M4,2019,45999,Semi-Auto,2373,Petrol,34,3
3 Series,2016,13988,Automatic,42102,Petrol,51.4,2
3 Series,2017,12750,Manual,41732,Petrol,48.7,2
5 Series,2015,10795,Automatic,91360,Diesel,62.8,2
3 Series,2016,14295,Automatic,94810,Hybrid,134.5,2
3 Series,2019,27999,Automatic,9214,Diesel,52.3,2
1 Series,2015,8999,Manual,59828,Diesel,72.4,1.5
1 Series,2013,10125,Manual,61040,Petrol,42.8,2
1 Series,2017,20495,Semi-Auto,27866,Petrol,39.8,3
X3,2015,13000,Manual,105320,Diesel,52.3,2
4 Series,2018,18280,Manual,17024,Petrol,46.3,2
4 Series,2019,27162,Automatic,4734,Petrol,48.7,2
2 Series,2019,23222,Semi-Auto,5290,Petrol,48.7,1.5
3 Series,2016,16499,Automatic,24500,Hybrid,134.5,2
4 Series,2016,20681,Semi-Auto,12531,Petrol,48.7,2
1 Series,2017,20975,Semi-Auto,11932,Petrol,39.8,3
2 Series,2018,18216,Automatic,5193,Petrol,48.7,2
3 Series,2019,34000,Semi-Auto,5525,Diesel,50.4,2
1 Series,2016,11490,Manual,49000,Diesel,62.8,2
5 Series,2019,35790,Semi-Auto,12,Diesel,53.3,3
1 Series,2018,23052,Semi-Auto,19959,Petrol,39.8,3
2 Series,2019,21980,Semi-Auto,7315,Petrol,50.4,2
7 Series,2017,35495,Semi-Auto,14550,Petrol,35.3,4.4
3 Series,2017,16500,Automatic,42205,Diesel,62.8,2
1 Series,2016,11000,Manual,36615,Petrol,53.3,1.5
2 Series,2014,13998,Manual,22086,Diesel,58.9,2
3 Series,2014,14000,Semi-Auto,73923,Diesel,52.3,3
3 Series,2017,15498,Semi-Auto,43678,Diesel,60.1,2
4 Series,2018,20000,Automatic,35042,Diesel,65.7,2
3 Series,2019,27450,Semi-Auto,7491,Petrol,41.5,2
3 Series,2015,14450,Automatic,47288,Diesel,62.8,2
3 Series,2019,33875,Semi-Auto,9389,Diesel,49.6,2
X1,2016,16000,Manual,50402,Diesel,68.9,2
3 Series,2016,12990,Semi-Auto,48788,Diesel,74.3,2
X4,2017,24999,Automatic,35351,Diesel,47.1,3
2 Series,2016,12000,Manual,37847,Petrol,53.3,1.5
3 Series,2020,71990,Semi-Auto,150,Diesel,47.1,3
5 Series,2019,30980,Semi-Auto,2420,Hybrid,156.9,2
3 Series,2017,15995,Semi-Auto,23715,Diesel,65.7,2
3 Series,2017,20991,Semi-Auto,26321,Diesel,56.5,3
4 Series,2019,28970,Semi-Auto,5402,Diesel,60.1,2
2 Series,2017,18490,Semi-Auto,14440,Diesel,64.2,2
3 Series,2015,15491,Automatic,35248,Diesel,64.2,2
3 Series,2018,24475,Semi-Auto,10548,Petrol,46.3,2
4 Series,2015,14999,Automatic,73150,Diesel,50.4,3
X5,2016,24990,Automatic,34000,Diesel,47.9,3
3 Series,2019,23987,Automatic,1049,Petrol,47.9,2
3 Series,2016,10591,Manual,62674,Diesel,72.4,2
X3,2017,21750,Automatic,25776,Diesel,47.9,3
1 Series,2013,7475,Manual,70000,Diesel,74.3,1.6
1 Series,2016,13457,Automatic,36670,Diesel,68.9,1.5
X2,2019,26972,Automatic,123,Petrol,38.7,2
X3,2019,34980,Semi-Auto,5014,Diesel,54.3,2
1 Series,2016,19950,Semi-Auto,23210,Petrol,39.8,3
4 Series,2018,20995,Automatic,3500,Diesel,55.4,3
1 Series,2019,19840,Semi-Auto,5077,Petrol,55.5,1.5
3 Series,2020,51000,Semi-Auto,5000,Diesel,43.5,3
1 Series,2016,8795,Manual,98210,Diesel,65.7,2
1 Series,2017,16790,Manual,15468,Petrol,46.3,2
X4,2015,26332,Semi-Auto,8732,Diesel,47.9,3
M2,2019,42110,Automatic,5644,Petrol,29.1,3
X5,2019,46996,Automatic,6891,Diesel,37.7,3
2 Series,2019,21450,Automatic,8085,Hybrid,148.7,1.5
X5,2017,51990,Automatic,10,Diesel,47.1,3
3 Series,2015,11300,Automatic,74317,Diesel,55.4,2
4 Series,2019,28697,Semi-Auto,4927,Diesel,50.4,3
X4,2015,19500,Automatic,51532,Diesel,54.3,2
2 Series,2020,19500,Automatic,4330,Petrol,42.2,1.5
1 Series,2017,12900,Manual,18942,Petrol,53.3,1.5
4 Series,2018,22595,Semi-Auto,18937,Petrol,48.7,2
1 Series,2016,8800,Manual,61786,Diesel,83.1,1.5
X4,2016,18995,Automatic,74001,Diesel,54.3,2
1 Series,2019,23499,Automatic,9112,Petrol,39.8,3
1 Series,2017,13500,Manual,16423,Diesel,72.4,1.5
3 Series,2019,24475,Semi-Auto,12991,Diesel,48.7,2
5 Series,2019,34980,Semi-Auto,9430,Diesel,53.3,3
X4,2015,19990,Semi-Auto,60059,Diesel,54.3,2
5 Series,2016,13600,Automatic,64598,Diesel,62.8,2
X2,2020,34999,Automatic,1217,Diesel,58.9,2
1 Series,2017,20990,Semi-Auto,25249,Diesel,61.4,2
1 Series,2019,25995,Semi-Auto,10572,Petrol,39.8,3
5 Series,2016,11995,Manual,69850,Diesel,65.7,2
1 Series,2019,22500,Manual,7781,Petrol,41.5,1.5
3 Series,2016,19367,Automatic,25666,Diesel,51.4,3
Z4,2009,7999,Automatic,63179,Petrol,33.2,2.5
4 Series,2016,13800,Automatic,68589,Diesel,65.7,2
4 Series,2019,30950,Semi-Auto,6212,Petrol,44.8,2
4 Series,2019,25374,Automatic,151,Diesel,60.1,2
3 Series,2017,19490,Semi-Auto,41816,Diesel,64.2,2
X6,2013,15380,Semi-Auto,71522,Diesel,38.2,3
1 Series,2019,24990,Manual,5846,Petrol,41.5,1.5
X3,2019,33990,Automatic,1926,Diesel,54.3,2
3 Series,2019,28940,Automatic,1550,Petrol,42.2,2
4 Series,2018,21980,Semi-Auto,10030,Diesel,65.7,2
3 Series,2017,13400,Automatic,49373,Diesel,70.6,2
2 Series,2019,22646,Manual,123,Petrol,52.3,1.5
X3,2013,15341,Semi-Auto,68729,Diesel,50.4,2
1 Series,2016,14499,Manual,13388,Petrol,52.3,1.5
X4,2019,33995,Semi-Auto,7141,Diesel,42.8,2
X5,2019,56980,Semi-Auto,9029,Diesel,33.6,3
X5,2016,25000,Automatic,52816,Diesel,50.4,2
X3,2019,30990,Semi-Auto,20423,Petrol,30.4,2
M6,2015,33500,Automatic,28314,Petrol,28.5,4.4
2 Series,2017,22980,Semi-Auto,18688,Petrol,39.8,3
3 Series,2020,27995,Manual,1000,Diesel,54.3,2
4 Series,2016,21000,Semi-Auto,37000,Petrol,41.5,3
3 Series,2012,11500,Automatic,83850,Petrol,43.5,2
1 Series,2016,12741,Manual,23114,Diesel,68.9,2
3 Series,2019,27998,Semi-Auto,11658,Diesel,48.7,2
X2,2020,22980,Semi-Auto,10,Petrol,43.5,1.5
1 Series,2016,14652,Manual,9461,Diesel,70.6,1.5
3 Series,2017,15200,Automatic,19147,Petrol,47.9,2
4 Series,2019,24785,Semi-Auto,2924,Petrol,48.7,2
1 Series,2016,14499,Manual,17467,Diesel,62.8,2
3 Series,2012,8750,Manual,54000,Diesel,61.4,2
8 Series,2019,61898,Semi-Auto,2650,Diesel,39.8,3
3 Series,2017,15599,Automatic,38070,Diesel,64.2,2
4 Series,2019,24995,Automatic,6963,Diesel,65.7,2
M3,2016,33750,Semi-Auto,33000,Petrol,34,3
1 Series,2019,19490,Manual,7990,Diesel,65.7,2
X1,2017,20980,Semi-Auto,31630,Diesel,55.4,2
3 Series,2016,16995,Semi-Auto,22035,Diesel,62.8,2
Z4,2008,14000,Manual,63000,Petrol,31.7,3
3 Series,2020,43970,Semi-Auto,1381,Petrol,41.5,2
3 Series,2017,10600,Manual,65213,Petrol,52.3,1.5
3 Series,2017,22480,Semi-Auto,31421,Diesel,53.3,3
X2,2020,26850,Semi-Auto,105,Diesel,50.4,2
X1,2017,19990,Semi-Auto,32000,Diesel,57.6,2
3 Series,2019,29480,Manual,2802,Diesel,54.3,2
X5,2020,63295,Semi-Auto,150,Diesel,33.6,3
X1,2019,27450,Automatic,123,Petrol,46.3,1.5
1 Series,2015,11490,Manual,62538,Petrol,56.5,1.5
X5,2019,51902,Semi-Auto,3224,Diesel,37.7,3
3 Series,2005,2499,Manual,130000,Petrol,31.4,2.5
3 Series,2000,1550,Automatic,93000,Petrol,29.7,2.5
3 Series,2016,15800,Automatic,16319,Diesel,64.2,2
3 Series,2016,18257,Automatic,19060,Diesel,53.3,3
3 Series,2019,25975,Semi-Auto,3119,Petrol,42.2,2
1 Series,2017,13998,Manual,33094,Diesel,72.4,1.5
3 Series,2019,30052,Semi-Auto,6549,Diesel,52.3,2
2 Series,2018,16750,Manual,13052,Diesel,64.2,2
2 Series,2019,22646,Manual,123,Petrol,52.3,1.5
3 Series,2016,16500,Semi-Auto,27444,Diesel,60.1,2
3 Series,2016,12700,Manual,17385,Diesel,72.4,2
X3,2019,33990,Semi-Auto,5434,Diesel,54.3,2
1 Series,2019,19498,Semi-Auto,9739,Diesel,67.3,2
X1,2017,17370,Manual,29575,Diesel,58.9,2
1 Series,2016,18498,Semi-Auto,36523,Petrol,39.8,3
7 Series,2017,34000,Semi-Auto,34024,Hybrid,128.4,2
3 Series,2018,21875,Semi-Auto,7509,Diesel,62.8,2
2 Series,2017,17495,Semi-Auto,15336,Petrol,48.7,2
2 Series,2019,22000,Manual,2560,Petrol,52.3,1.5
1 Series,2018,16695,Manual,7948,Diesel,65.7,2
1 Series,2019,20780,Automatic,8245,Diesel,65.7,2
1 Series,2016,12349,Automatic,79212,Diesel,68.9,1.5
X6,2016,20950,Semi-Auto,29211,Diesel,47.1,3
X5,2014,19999,Automatic,80000,Diesel,47.9,2
3 Series,2017,19645,Semi-Auto,27900,Diesel,64.2,2
5 Series,2017,20490,Automatic,33000,Diesel,65.7,2
4 Series,2016,20641,Automatic,24939,Diesel,50.4,3
5 Series,2017,22490,Semi-Auto,36549,Diesel,65.7,2
4 Series,2019,21998,Semi-Auto,16616,Diesel,65.7,2
X5,2017,30000,Automatic,23882,Diesel,47.1,3
3 Series,2015,13400,Automatic,24741,Diesel,62.8,2
X7,2020,78490,Semi-Auto,4919,Diesel,31.4,3
1 Series,2019,33990,Automatic,9599,Petrol,34.5,2
1 Series,2017,21307,Semi-Auto,12969,Petrol,39.8,3
1 Series,2017,19498,Manual,21171,Petrol,36.2,3
1 Series,2012,6990,Manual,74000,Diesel,62.8,2
2 Series,2019,24054,Semi-Auto,7460,Petrol,47.9,2
3 Series,2020,34875,Semi-Auto,2000,Diesel,50.4,2
3 Series,2015,11690,Automatic,69002,Diesel,60.1,2
1 Series,2017,12100,Manual,36642,Diesel,68.9,2
4 Series,2017,17920,Manual,22956,Diesel,62.8,2
X1,2016,18995,Semi-Auto,17604,Diesel,60.1,2
X1,2019,25995,Manual,1501,Petrol,51.4,1.5
X5,2016,21000,Automatic,71626,Other,85.6,2
3 Series,2019,27995,Semi-Auto,2317,Diesel,52.3,2
4 Series,2016,17950,Automatic,34938,Petrol,45.6,2
2 Series,2016,12799,Manual,57561,Diesel,67.3,1.5
3 Series,2019,20498,Semi-Auto,6160,Petrol,44.8,2
3 Series,2019,26498,Semi-Auto,11504,Petrol,41.5,2
2 Series,2019,27980,Semi-Auto,4859,Diesel,64.2,2
1 Series,2020,28790,Semi-Auto,953,Diesel,51.4,2
1 Series,2016,10200,Manual,49199,Diesel,83.1,1.5
1 Series,2017,12400,Manual,40461,Diesel,62.8,2
2 Series,2019,21500,Semi-Auto,2070,Petrol,40.9,1.5
6 Series,2016,20999,Automatic,43483,Diesel,49.6,3
4 Series,2015,14999,Automatic,19887,Diesel,64.2,2
5 Series,2020,33980,Semi-Auto,1175,Diesel,62.8,2
2 Series,2016,21211,Semi-Auto,26182,Petrol,37.2,3
X1,2019,30900,Semi-Auto,678,Diesel,65.7,2
X4,2017,24500,Semi-Auto,22768,Diesel,54.3,2
X2,2019,31980,Automatic,4804,Petrol,34,2
1 Series,2018,19840,Semi-Auto,32151,Diesel,61.4,2
5 Series,2016,13119,Manual,51780,Diesel,60.1,2
3 Series,2012,10240,Automatic,37089,Petrol,47.1,2
X5,2016,24500,Automatic,57605,Other,85.6,2
1 Series,2012,5495,Manual,73853,Diesel,60.1,2
1 Series,2015,12800,Manual,37391,Diesel,65.7,2
5 Series,2019,31780,Semi-Auto,13384,Diesel,60.1,3
X4,2019,38380,Automatic,3502,Diesel,42.8,2
1 Series,2019,19798,Semi-Auto,16406,Diesel,67.3,2
X2,2019,28750,Semi-Auto,1914,Petrol,39.8,2
